City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
90,Adrar,MR,20.5022,-10.0711,76.05,10,42,10.4,scattered clouds
91,Hithadhoo,MV,-0.6,73.0833,84.24,75,34,18.59,scattered clouds
92,San Quintin,MX,30.4833,-115.95,57.7,82,20,5.39,few clouds
93,Severo-Kurilsk,RU,50.6789,156.125,37.13,94,100,9.08,overcast clouds
94,Kieta,PG,-6.2167,155.6333,82.58,78,100,3.83,light rain
95,Ixtlahuacan Del Rio,MX,20.8667,-103.25,71.6,23,1,9.22,clear sky
96,Praia,CV,14.9215,-23.5087,66.2,77,20,11.5,few clouds
97,San Patricio,US,28.017,-97.5169,75.2,94,90,16.11,overcast clouds
98,Skibbereen,IE,51.55,-9.2667,42.8,100,75,6.91,fog
99,Chabahar,IR,25.2919,60.643,81.88,49,3,1.66,clear sky
100,Luganville,VU,-15.5333,167.1667,83.25,76,68,6.08,light rain
101,Griffith,US,41.5284,-87.4237,50.0,37,90,14.97,overcast clouds
102,Ha Giang,VN,22.8333,104.9833,96.64,28,17,9.1,few clouds
103,Port Alfred,ZA,-33.5906,26.891,64.76,73,31,12.82,scattered clouds
104,Bengkulu,ID,-3.8004,102.2655,84.09,67,98,8.19,overcast clouds
105,Sitka,US,57.0531,-135.33,37.4,93,90,11.5,light rain
106,Plastun,RU,44.7561,136.2939,51.71,46,7,1.79,clear sky
107,Chancay,PE,-11.5714,-77.2672,71.01,83,0,6.91,clear sky
108,Lavrentiya,RU,65.5833,-171.0,-3.91,87,82,6.11,broken clouds
109,Saldanha,ZA,-33.0117,17.9442,62.6,82,8,3.44,clear sky
110,Inyonga,TZ,-6.7167,32.0667,62.91,97,100,1.43,light rain
111,Codrington,AU,-38.2667,141.9667,72.41,45,26,9.04,scattered clouds
112,Longyearbyen,SJ,78.2186,15.6401,24.8,80,75,6.91,broken clouds
113,Norman Wells,CA,65.282,-126.8329,17.6,67,75,6.91,light snow
114,Bredasdorp,ZA,-34.5322,20.0403,55.4,94,22,4.61,few clouds
115,Banda Aceh,ID,5.5577,95.3222,84.51,66,100,13.09,overcast clouds
116,Sola,VU,-13.8833,167.55,82.78,73,76,10.22,very heavy rain
117,Barrow,US,71.2906,-156.7887,-5.8,71,90,29.93,snow
118,Port Elizabeth,ZA,-33.918,25.5701,62.6,88,40,11.5,scattered clouds
119,Ayagoz,KZ,47.9714,80.4392,33.1,67,90,4.76,overcast clouds
120,Ponta Do Sol,PT,32.6667,-17.1,64.4,82,75,14.97,broken clouds
121,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,88,20,9.22,few clouds
122,Henties Bay,NA,-22.116,14.2845,60.01,93,7,1.99,clear sky
123,Oni,GE,42.5794,43.4425,42.13,68,5,4.45,clear sky
