City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,Verkhoyansk,67.5447,133.385,-10.21,100,41,1.12,RU,2021-03-29 15:45:11
146,Nouadhibou,20.931,-17.0347,73.4,64,57,19.57,MR,2021-03-29 15:44:16
147,Skibbereen,51.55,-9.2667,51.8,93,90,17.27,IE,2021-03-29 15:45:11
148,Yeniseysk,58.4497,92.1703,28.47,95,96,4.03,RU,2021-03-29 15:45:11
149,Richards Bay,-28.783,32.0377,70.14,73,18,9.31,ZA,2021-03-29 15:44:10
150,Wuzhou,23.4833,111.3167,77.58,75,0,1.7,CN,2021-03-29 15:45:12
151,Vila Franca Do Campo,37.7167,-25.4333,62.6,77,75,14.97,PT,2021-03-29 15:45:12
152,Mahebourg,-20.4081,57.7,78.8,94,40,3.44,MU,2021-03-29 15:43:40
153,Rocha,-34.4833,-54.3333,74.21,65,80,11.23,UY,2021-03-29 15:45:13
154,Cabo San Lucas,22.8909,-109.9124,78.01,34,40,5.5,MX,2021-03-29 15:44:37
155,Lagoa,39.05,-27.9833,58.14,88,100,18.9,PT,2021-03-29 15:45:13
156,Mikumi,-7.4041,36.9831,71.56,96,76,4.65,TZ,2021-03-29 15:44:14
157,Husavik,66.0449,-17.3389,28.4,86,90,25.32,IS,2021-03-29 15:44:01
158,Safford,32.834,-109.7076,61.0,27,1,11.5,US,2021-03-29 15:45:13
159,Goianesia,-15.3175,-49.1175,87.42,40,24,2.28,BR,2021-03-29 15:45:13
160,Ketchikan,55.3422,-131.6461,30.2,80,90,1.88,US,2021-03-29 15:43:46
161,Pandamatenga,-18.5278,25.627,72.88,53,2,5.19,BW,2021-03-29 15:45:14
162,Dindori,22.95,81.0833,80.2,13,0,2.51,IN,2021-03-29 15:45:14
163,Vanimo,-2.6741,141.3028,78.44,86,93,3.22,PG,2021-03-29 15:43:58
164,Saint-Georges,12.0564,-61.7485,80.6,89,75,16.11,GD,2021-03-29 15:42:45
165,Onega,63.9061,38.1404,37.13,83,99,13.76,RU,2021-03-29 15:45:14
166,Dauphin,51.1494,-100.0502,33.8,86,1,4.61,CA,2021-03-29 15:45:15
167,Hamilton,39.1834,-84.5333,48.99,49,1,3.69,US,2021-03-29 15:44:30
168,Cervo,43.6702,-7.4101,63.57,62,92,3.89,ES,2021-03-29 15:45:15
169,Ponta Do Sol,32.6667,-17.1,70.0,64,20,18.41,PT,2021-03-29 15:43:41
170,Pemba,-12.974,40.5178,84.2,74,75,13.8,MZ,2021-03-29 15:45:15
171,Poum,-20.2333,164.0167,79.27,80,92,6.13,NC,2021-03-29 15:44:03
172,Campos Belos,-13.0367,-46.7717,88.56,33,100,5.32,BR,2021-03-29 15:45:15
173,New Plymouth,-39.0667,174.0833,62.01,97,100,8.99,NZ,2021-03-29 15:45:16
174,Faanui,-16.4833,-151.75,82.4,72,100,15.08,PF,2021-03-29 15:44:05
175,Yuzhne,46.6221,31.1013,41.0,93,90,13.42,UA,2021-03-29 15:45:16
176,Qaqortoq,60.7167,-46.0333,24.8,46,20,4.61,GL,2021-03-29 15:43:34
177,Port Hedland,-20.3167,118.5667,82.4,61,87,6.91,AU,2021-03-29 15:44:23
178,Ilulissat,69.2167,-51.1,8.6,40,40,12.66,GL,2021-03-29 15:43:35
179,Pontes E Lacerda,-15.2261,-59.3353,84.9,56,41,6.17,BR,2021-03-29 15:45:16
180,Sergeyevka,53.88,67.4158,10.94,96,46,4.32,KZ,2021-03-29 15:45:17
181,Ankang,32.68,109.0172,62.89,77,49,5.35,CN,2021-03-29 15:45:17
182,Rorvik,64.8621,11.2373,42.8,75,75,36.82,NO,2021-03-29 15:45:17
183,Praia Da Vitoria,38.7333,-27.0667,64.4,72,75,27.47,PT,2021-03-29 15:45:17
184,Saskylakh,71.9167,114.0833,-10.66,98,100,7.0,RU,2021-03-29 15:44:04
185,Adrar,20.5022,-10.0711,98.17,5,5,7.14,MR,2021-03-29 15:44:10
186,Chuy,-33.6971,-53.4616,74.66,61,71,9.55,UY,2021-03-29 15:44:18
187,Paamiut,61.994,-49.6678,26.06,53,86,11.92,GL,2021-03-29 15:45:18
188,Lavrentiya,65.5833,-171.0,11.21,88,100,12.82,RU,2021-03-29 15:43:55
189,Luderitz,-26.6481,15.1594,68.0,70,0,11.59,NA,2021-03-29 15:43:49
190,Kaseda,31.4167,130.3167,59.32,83,0,3.33,JP,2021-03-29 15:45:18
191,Lima,-12.0432,-77.0282,75.0,73,0,4.61,PE,2021-03-29 15:43:11
192,Karachi,24.9056,67.0822,80.6,78,20,10.36,PK,2021-03-29 15:45:18
193,Gwanda,-20.9333,29.0,71.15,51,5,7.11,ZW,2021-03-29 15:45:19
194,Bulgan,48.8125,103.5347,36.82,58,94,4.81,MN,2021-03-29 15:45:19
195,Meulaboh,4.1363,96.1285,77.0,91,100,4.36,ID,2021-03-29 15:43:12
196,Novochernorechenskiy,56.2669,91.0828,31.5,88,100,9.91,RU,2021-03-29 15:45:19
197,Sitka,57.0531,-135.33,33.8,86,90,9.22,US,2021-03-29 15:44:11
198,Dinagat,9.9561,125.5933,81.3,76,84,7.47,PH,2021-03-29 15:45:19
199,Turukhansk,65.8167,87.9833,-8.03,97,99,9.73,RU,2021-03-29 15:45:20
200,Stornoway,58.2093,-6.3865,46.99,87,75,6.91,GB,2021-03-29 15:45:20
201,Esperance,-33.8667,121.9,82.4,28,25,12.66,AU,2021-03-29 15:45:20
202,Ampanihy,-24.7,44.75,72.32,69,59,9.86,MG,2021-03-29 15:45:20
203,San Quintin,30.4833,-115.95,63.88,61,100,6.71,MX,2021-03-29 15:45:21
204,Chokwe,-24.5333,32.9833,72.61,60,44,7.58,MZ,2021-03-29 15:45:21
205,Oktyabrskiy,54.4815,53.471,21.83,98,59,3.51,RU,2021-03-29 15:45:21
206,Deputatskiy,69.3,139.9,-4.88,99,88,4.18,RU,2021-03-29 15:44:30
207,Finnsnes,69.2296,17.9811,41.0,56,40,11.5,NO,2021-03-29 15:45:22
208,Sao Joao Da Barra,-21.6403,-41.0511,89.6,48,0,7.99,BR,2021-03-29 15:44:21
209,Belmonte,-15.8631,-38.8828,84.2,58,40,17.27,BR,2021-03-29 15:45:23
210,Aykhal,66.0,111.5,15.8,98,100,5.03,RU,2021-03-29 15:45:23
211,Omboue,-1.5746,9.2618,79.05,81,100,4.54,GA,2021-03-29 15:45:23
212,Vangaindrano,-23.35,47.6,73.98,87,16,6.17,MG,2021-03-29 15:45:23
213,Lompoc,34.6391,-120.4579,55.99,100,0,7.54,US,2021-03-29 15:43:37
214,Thompson,55.7435,-97.8558,12.2,85,90,17.27,CA,2021-03-29 15:43:48
215,Novobirilyussy,56.9514,90.6661,30.25,98,100,4.12,RU,2021-03-29 15:45:24
216,Ponta Delgada,37.7333,-25.6667,62.6,77,75,14.97,PT,2021-03-29 15:45:24
217,Serov,59.6033,60.5787,18.81,93,40,2.42,RU,2021-03-29 15:42:03
218,Chimbote,-9.0853,-78.5783,73.81,73,98,8.63,PE,2021-03-29 15:45:24
219,Bara,10.3744,10.7288,98.06,11,7,11.97,NG,2021-03-29 15:45:24
220,Severnoye,56.3491,78.3619,25.75,94,100,14.9,RU,2021-03-29 15:45:25
221,Mvuma,-19.2792,30.5283,63.81,62,1,7.31,ZW,2021-03-29 15:45:25
222,Tupelo,34.2576,-88.7034,55.99,44,1,8.05,US,2021-03-29 15:44:47
